,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
2278,Toyota,2002,Nigerian Used,285976,3000,Petrol,Automatic,"1,560,000",
2279,Toyota,2004,Nigerian Used,180984,3500,Petrol,Automatic,"1,575,000",
2280,Toyota,2012,Nigerian Used,114345,1600,Petrol,Automatic,"3,328,000",
2281,Toyota,2011,Foreign Used,202784,2500,Petrol,Automatic,"4,472,000",
2282,Honda,2004,Nigerian Used,143321,2300,Petrol,Automatic,"2,704,000",SUV
2283,Land Rover,2006,Nigerian Used,188429,4200,Petrol,Automatic,"2,940,000",SUV
2284,Nissan,2007,Nigerian Used,233903,3000,Petrol,Automatic,"1,680,000",SUV
2285,Toyota,2006,Foreign Used,102399,3300,Petrol,Automatic,"3,640,000",
2286,Honda,2005,Nigerian Used,212354,3500,Petrol,Automatic,"1,575,000",
2287,Hyundai,2012,Nigerian Used,110683,1800,Petrol,Automatic,"2,100,000",
2288,Toyota,,,71655,,,Automatic,"7,122,000",
2289,Toyota,2002,Nigerian Used,285976,3000,Petrol,Automatic,"1,560,000",
2290,Toyota,2003,Nigerian Used,170206,3000,Petrol,Automatic,"2,704,000",SUV
2291,Toyota,2002,Nigerian Used,132213,3000,Petrol,Automatic,"1,352,000",
2292,Toyota,2006,Nigerian Used,248375,3300,Petrol,Automatic,"1,785,000",
2293,Ford,2004,Nigerian Used,323048,400,Petrol,Automatic,"1,680,000",
2294,Toyota,2002,Nigerian Used,176533,2400,Petrol,Automatic,"1,560,000",
2295,Kia,2010,Nigerian Used,179284,1600,Petrol,Automatic,"1,680,000",
2296,Toyota,2003,Nigerian Used,188739,1800,Petrol,Automatic,"1,575,000",
2297,Honda,2007,Foreign Used,123441,2500,Petrol,Automatic,"3,570,000",
2298,Lexus,2008,Nigerian Used,176272,3500,Petrol,Automatic,"2,625,000",
2299,Mercedes-Benz,,,177051,,,Automatic,"2,474,000",
2300,Honda,2006,Nigerian Used,233846,3500,Petrol,Automatic,"1,575,000",SUV
2301,Toyota,2011,Foreign Used,432495,3500,Petrol,Automatic,"4,680,000",
2302,Toyota,,,116766,,,Automatic,"7,290,000",
2303,Mitsubishi,2008,Nigerian Used,156408,2400,Petrol,Manual,"1,365,000",
2304,Nissan,2014,Nigerian Used,118154,2500,Petrol,CVT,"5,775,000",SUV
2305,Mitsubishi,2004,Nigerian Used,361889,3800,Petrol,Automatic,"2,625,000",SUV
2306,Hyundai,,,10559,,,Automatic,"6,335,000",
2307,Honda,2013,Nigerian Used,173936,2400,Petrol,Automatic,"3,780,000",
2308,Toyota,2012,Foreign Used,206117,3500,Petrol,Automatic,"9,152,000",SUV
2309,Ford,2013,Nigerian Used,133104,3500,Petrol,Automatic,"3,465,000",SUV
2310,Kia,2013,Nigerian Used,85282,2400,Petrol,Automatic,"4,200,000",SUV
2311,Infiniti,2001,Nigerian Used,141538,3500,Petrol,Automatic,"1,260,000",SUV
2312,Nissan,2005,Nigerian Used,231680,2000,Petrol,Automatic,"1,785,000",
2313,Toyota,2008,Nigerian Used,107655,18000,Petrol,Automatic,"2,415,000",
2314,Honda,2009,Foreign Used,159132,2400,Petrol,Automatic,"2,677,500",
2315,Mercedes-Benz,2008,Nigerian Used,187503,3500,Petrol,Automatic,"2,520,000",
2316,Mitsubishi,2003,Nigerian Used,246600,2400,Petrol,Automatic,"1,575,000",SUV
2317,Toyota,2006,Foreign Used,277350,3500,Petrol,Automatic,"2,940,000",
2318,Infiniti,2005,Nigerian Used,290000,3500,Petrol,Automatic,"1,785,000",
2319,Mercedes-Benz,2007,Nigerian Used,206570,2000,Petrol,Automatic,"1,785,000",
2320,Mazda,2004,Nigerian Used,141216,3000,Petrol,Automatic,"1,890,000",
2321,Honda,2011,Nigerian Used,166352,3500,Petrol,Automatic,"2,415,000",SUV
2322,Honda,2005,Nigerian Used,273444,3500,Petrol,Automatic,"1,560,000",SUV
2323,Nissan,2005,Nigerian Used,208886,40,Petrol,Automatic,"3,016,000",SUV
2324,Jaguar,2001,Nigerian Used,263789,3000,Petrol,Automatic,"1,050,000",
2325,Honda,,,59244,,,Automatic,"4,714,000",
2326,Toyota,2002,Nigerian Used,241730,3000,Petrol,Automatic,"1,560,000",
2327,Toyota,2005,Nigerian Used,128134,1800,Petrol,Automatic,"1,976,000",
2328,Mercedes-Benz,2009,Nigerian Used,151643,4000,Petrol,Automatic,"4,725,000",SUV
2329,Honda,,,178894,,,Automatic,"1,690,000",
2330,Lexus,2005,Nigerian Used,174427,3300,Petrol,Automatic,"3,045,000",SUV
2331,Toyota,2006,Foreign Used,277350,3500,Petrol,Automatic,"2,940,000",
2332,Hyundai,2013,Nigerian Used,118053,1800,Petrol,Automatic,"2,310,000",
2333,Chevrolet,,,63751,,,Manual,"13,450,000",
2334,Toyota,2012,Nigerian Used,193268,1800,Petrol,Automatic,"2,887,500",
2335,Mercedes-Benz,2010,Nigerian Used,189018,3500,Petrol,Automatic,"5,720,000",
2336,Toyota,2009,Nigerian Used,128980,1800,Petrol,Automatic,"2,100,000",
2337,Nissan,2009,Nigerian Used,213292,3500,Petrol,CVT,"1,575,000",SUV
2338,Toyota,2003,Nigerian Used,210448,1800,Petrol,Automatic,"2,028,000",
2339,Toyota,2007,Nigerian Used,156588,2400,Petrol,Automatic,"2,496,000",
2340,Honda,2007,Foreign Used,128446,1400,Petrol,Manual,"1,785,000",
2341,Mercedes-Benz,2007,Nigerian Used,,3500,Petrol,,"2,625,000",SUV
2342,Toyota,2003,Nigerian Used,217894,1800,Petrol,Automatic,"1,732,500",
2343,Hyundai,2010,Nigerian Used,250892,,Petrol,Automatic,"2,205,000",
2344,Suzuki,,,66,,,Automatic,"9,900,000",
2345,Lexus,2000,Nigerian Used,154995,3500,Petrol,Automatic,"1,680,000",SUV
2346,Toyota,2008,Nigerian Used,241185,1500,Hybrid,Automatic,"1,785,000",
2347,Toyota,2007,Nigerian Used,156588,2400,Petrol,Automatic,"2,496,000",
2348,Honda,2007,Nigerian Used,134716,2400,Petrol,Automatic,"2,046,000",SUV
2349,Toyota,2009,Nigerian Used,245524,1800,Petrol,Automatic,"2,415,000",
2350,Mercedes-Benz,2008,Nigerian Used,142557,47000,Petrol,Automatic,"4,725,000",SUV
2351,Honda,2009,Nigerian Used,179313,3500,Petrol,Automatic,"2,625,000",SUV
2352,Honda,2008,Nigerian Used,226508,2400,Petrol,Automatic,"2,184,000",
2353,Lexus,2011,Nigerian Used,98718,3500,Petrol,Automatic,"5,200,000",
2354,Honda,2010,Nigerian Used,95366,2400,Petrol,Automatic,"2,100,000",
2355,Toyota,2007,Nigerian Used,165028,1800,Petrol,Automatic,"2,100,000",
2356,Nissan,2004,Nigerian Used,272065,3300,Petrol,Automatic,"2,912,000",
2357,Suzuki,,,177,,,Automatic,"8,500,000",
2358,Mercedes-Benz,,,999999,,,Automatic,"2,698,000",
2359,Toyota,2003,Nigerian Used,188739,1800,Petrol,Automatic,"1,575,000",
2360,Honda,2014,Foreign Used,163132,2400,Petrol,Automatic,"6,760,000",
2361,Toyota,2010,Nigerian Used,210788,2400,Petrol,Automatic,"2,912,000",
2362,Toyota,2007,Nigerian Used,102718,2400,Petrol,Automatic,"2,205,000",
2363,Honda,2009,Nigerian Used,173089,2400,Petrol,Automatic,"2,600,000",
2364,Honda,,,64469,,,Automatic,"5,106,000",
2365,Toyota,2008,Foreign Used,105681,3500,Petrol,Automatic,"26,000,000",SUV
2366,Lexus,2007,Nigerian Used,68366,3500,Petrol,Automatic,"5,408,000",
2367,Toyota,2004,Nigerian Used,331606,1800,Petrol,AMT,"1,890,000",
2368,Toyota,2005,Nigerian Used,443373,2400,Petrol,Automatic,"1,575,000",
2369,Toyota,2009,Nigerian Used,92488,2500,Petrol,Automatic,"2,100,000",
2370,Toyota,,,189047,,,Automatic,"3,370,000",
2371,Toyota,,,179017,,,Automatic,"2,586,000",
2372,Mercedes-Benz,,,1,,,Automatic,"1,735,000",
2373,Nissan,2001,Nigerian Used,188490,3300,Petrol,Automatic,"1,260,000",SUV
2374,Honda,2009,Nigerian Used,125806,2500,Petrol,,"1,785,000",
2375,Lexus,2005,Nigerian Used,177350,3300,Petrol,Automatic,"2,100,000",
2376,Mercedes-Benz,2007,Nigerian Used,243975,4700,Petrol,Automatic,"2,310,000",SUV
2377,Toyota,2007,Nigerian Used,215320,,Petrol,Automatic,"1,575,000",
2378,Kia,2004,Nigerian Used,,2000,Petrol,Automatic,"1,050,000",
2379,Suzuki,,,126285,,,Automatic,"2,810,000",
2380,Toyota,2009,Nigerian Used,154177,1800,Petrol,Automatic,"2,704,000",
2381,Toyota,2002,Nigerian Used,188116,2400,Petrol,Automatic,"1,612,000",
2382,Mercedes-Benz,,,126540,,,Automatic,"2,922,000",
2383,Kia,,,8645,,,Automatic,"7,850,000",
2384,Toyota,2006,Nigerian Used,124738,1800,Petrol,Automatic,"1,890,000",
2385,Chevrolet,,,128773,,,Automatic,"1,006,800",
2386,Toyota,2004,Nigerian Used,231374,3300,Petrol,Automatic,"1,575,000",
2387,Kia,2013,Nigerian Used,100169,1800,Petrol,Automatic,"2,625,000",
2388,Toyota,2011,Nigerian Used,195365,2500,Petrol,Automatic,"2,677,500",
2389,Toyota,2003,Nigerian Used,210448,1800,Petrol,Automatic,"2,028,000",
2390,Toyota,2002,Nigerian Used,195977,3000,Petrol,Automatic,"1,260,000",
2391,Mercedes-Benz,2009,Nigerian Used,151643,4000,Petrol,Automatic,"4,725,000",SUV
2392,Toyota,2003,Nigerian Used,239434,1800,Petrol,Automatic,"1,780,000",
2393,Toyota,2009,Nigerian Used,299990,1800,Petrol,Automatic,"2,520,000",
2394,Mercedes-Benz,,,125212,,,Automatic,"1,690,000",
2395,Toyota,2009,Nigerian Used,128980,1800,Petrol,Automatic,"2,100,000",
2396,Suzuki,,,126285,,,Automatic,"2,810,000",
2397,Lexus,2006,Nigerian Used,208657,3000,Petrol,Automatic,"2,928,000",
2398,Hyundai,2015,Nigerian Used,50075,1200,Petrol,Manual,"2,100,000",
2399,Toyota,2009,Nigerian Used,125745,2400,Petrol,Automatic,"2,392,000",
2400,Land Rover,,,48713,,,Automatic,"40,330,000",
2401,Honda,2009,Nigerian Used,179313,3500,Petrol,Automatic,"2,625,000",SUV
2402,Toyota,2005,Foreign Used,150430,1800,Petrol,Automatic,"2,625,000",
2403,Toyota,2007,Nigerian Used,167507,3500,Petrol,Automatic,"1,680,000",
2404,Toyota,2002,Nigerian Used,195977,3000,Petrol,Automatic,"1,260,000",
2405,Toyota,2007,Nigerian Used,234297,2400,Petrol,Automatic,"1,942,500",
2406,Toyota,2008,Nigerian Used,241185,1500,Hybrid,Automatic,"1,785,000",
2407,Toyota,2010,Nigerian Used,257417,1800,Petrol,Automatic,"3,536,000",
2408,Suzuki,,,62,,,Automatic,"7,100,000",
2409,Toyota,,,102537,,,Automatic,"5,386,000",
2410,Toyota,2008,Nigerian Used,56761,5700,Petrol,Automatic,"5,250,000",SUV
2411,Toyota,2003,Nigerian Used,217894,1800,Petrol,Automatic,"1,732,500",
2412,Ford,2007,Nigerian Used,115945,3500,Petrol,AMT,"1,575,000",SUV
2413,Mercedes-Benz,2007,Nigerian Used,,3500,Petrol,,"2,625,000",SUV
2414,Nissan,,,,,,,"1,580,000",
2415,Toyota,2007,Nigerian Used,194171,2400,Petrol,Automatic,"1,890,000",
2416,Hyundai,2011,Nigerian Used,298624,2000,Petrol,Automatic,"2,814,000",
2417,Toyota,2006,Nigerian Used,290204,18000,Petrol,Automatic,"1,890,000",
2418,Land Rover,,,48713,,,Automatic,"40,330,000",
2419,Mercedes-Benz,,,999999,,,Automatic,"2,698,000",
2420,Toyota,,,189047,,,Automatic,"3,370,000",
2421,Mazda,2008,Foreign Used,131100,2000,Petrol,Automatic,"1,732,500",
2422,Toyota,2002,Foreign Used,163475,2500,Petrol,Automatic,"2,600,000",
2423,Toyota,,,237550,,,Automatic,"3,146,000",
2424,Toyota,2008,Nigerian Used,56761,5700,Petrol,Automatic,"5,250,000",SUV
2425,Renault,2006,Nigerian Used,180952,1900,Diesel,Manual,"1,025,000",
2426,Toyota,2007,Nigerian Used,165028,1800,Petrol,Automatic,"2,100,000",
2427,Toyota,2011,Nigerian Used,217733,2400,Petrol,Automatic,"2,100,000",
2428,Hyundai,2011,Nigerian Used,133698,2000,Petrol,Automatic,"2,887,500",
2429,Kia,2014,Nigerian Used,54099,1400,Petrol,Automatic,"2,912,000",
2430,Nissan,2003,Nigerian Used,239830,2500,Petrol,Automatic,"1,785,000",SUV
2431,Hyundai,2015,Nigerian Used,50075,1200,Petrol,Manual,"2,100,000",
2432,Honda,2008,Nigerian Used,88690,2400,Petrol,Automatic,"2,100,000",SUV
2433,Honda,2013,Nigerian Used,137302,3500,Petrol,AMT,"3,360,000",
2434,Toyota,2008,Nigerian Used,195989,1800,Petrol,Automatic,"2,704,000",
2435,Land Rover,2006,Nigerian Used,114307,4400,Petrol,Automatic,"1,680,000",SUV
2436,Lexus,2000,Nigerian Used,154995,3500,Petrol,Automatic,"1,680,000",SUV
2437,Hyundai,2011,Nigerian Used,133698,2000,Petrol,Automatic,"2,887,500",
2438,Toyota,2000,Nigerian Used,158375,3000,Petrol,Automatic,"1,664,000",
2439,Honda,2010,Nigerian Used,95366,2400,Petrol,Automatic,"2,100,000",
2440,Toyota,2003,Nigerian Used,159293,1800,Petrol,Automatic,"1,872,000",
2441,Nissan,2014,Nigerian Used,134275,2500,Petrol,Automatic,"3,150,000",
2442,Honda,2011,Nigerian Used,166352,3500,Petrol,Automatic,"2,415,000",SUV
2443,Chevrolet,2010,Nigerian Used,102064,1600,Petrol,Automatic,"1,260,000",
2444,Toyota,2001,Nigerian Used,174340,2000,Petrol,Automatic,"1,872,000",SUV
2445,Toyota,2006,Nigerian Used,316117,3500,Petrol,Automatic,"1,680,000",
2446,Lexus,2005,Nigerian Used,221522,3300,Petrol,Automatic,"3,328,000",SUV
2447,Toyota,2008,Nigerian Used,195989,1800,Petrol,Automatic,"2,704,000",
2448,Toyota,2005,Nigerian Used,257412,1800,Petrol,Automatic,"1,785,000",
2449,Chevrolet,2010,Nigerian Used,102064,1600,Petrol,Automatic,"1,260,000",
2450,Toyota,2002,Nigerian Used,506364,2400,Petrol,Automatic,"1,456,000",
2451,Nissan,2005,Foreign Used,191535,3500,Petrol,Automatic,"1,785,000",
2452,Toyota,2007,Nigerian Used,208115,3500,Petrol,Automatic,"1,890,000",
2453,Toyota,2005,Foreign Used,238198,1800,Petrol,Automatic,"2,572,500",
2454,Mercedes-Benz,2002,Nigerian Used,225111,2100,Diesel,Manual,"1,575,000",
2455,Lexus,2009,Nigerian Used,156501,3500,Petrol,Automatic,"3,585,000",SUV
2456,Suzuki,,,201,,,Automatic,"9,900,000",
2457,Toyota,2010,Nigerian Used,243549,1800,Petrol,Automatic,"2,205,000",
2458,Toyota,2003,Nigerian Used,218717,2000,Petrol,Automatic,"1,768,000",SUV
2459,Honda,,,64469,,,Automatic,"5,106,000",
2460,Honda,,,72750,,,Automatic,"8,298,000",
2461,Toyota,2004,Nigerian Used,21973,1800,Petrol,Automatic,"1,732,500",
2462,Nissan,2005,Nigerian Used,468578,2500,Petrol,Automatic,"1,680,000",SUV
2463,Mercedes-Benz,2005,Nigerian Used,134162,3700,Petrol,Automatic,"2,940,000",SUV
2464,Nissan,2005,Nigerian Used,24162,4000,Petrol,Automatic,"2,310,000",
2465,Toyota,2004,Nigerian Used,184304,1800,Petrol,Automatic,"1,785,000",
2466,Nissan,2018,Nigerian Used,37409,5600,Petrol,Automatic,"8,400,000",
2467,Honda,2004,Nigerian Used,215019,3500,Petrol,Automatic,"1,560,000",SUV
2468,Honda,2010,Nigerian Used,149189,35000,Petrol,Automatic,"2,100,000",
2469,Mercedes-Benz,2008,Nigerian Used,212117,3500,Petrol,Automatic,"3,150,000",SUV
2470,Lexus,2008,Nigerian Used,176272,3500,Petrol,Automatic,"2,625,000",
2471,Mercedes-Benz,2002,Nigerian Used,225111,2100,Diesel,Manual,"1,575,000",
2472,Toyota,2003,Foreign Used,101442,1800,Petrol,Automatic,"3,120,000",
2473,Ford,2008,Nigerian Used,171962,3500,Petrol,Automatic,"2,704,000",SUV
2474,Honda,2007,Foreign Used,183460,35,Petrol,Automatic,"3,150,000",SUV
2475,Toyota,2009,Nigerian Used,135724,1800,Petrol,Automatic,"1,659,000",
2476,Hyundai,,,124362,,,Automatic,"2,026,000",
2477,Toyota,2003,Nigerian Used,107072,3000,Petrol,Automatic,"1,664,000",
2478,Honda,2015,Nigerian Used,76054,2000,Petrol,Automatic,"5,616,000",
2479,Toyota,2009,Nigerian Used,360384,1800,Petrol,Automatic,"2,100,000",
2480,Toyota,2010,Foreign Used,75863,2700,Petrol,Automatic,"7,192,500",
2481,Lexus,2009,Nigerian Used,139072,3500,Petrol,Automatic,"3,150,000",
2482,Hyundai,,,97234,,,Automatic,"2,698,000",
2483,Mercedes-Benz,,,152004,,,Automatic,"3,370,000",
2484,Suzuki,,,67,,,Automatic,"8,500,000",
2485,Toyota,2003,Nigerian Used,23658,1800,Petrol,Automatic,"1,872,000",
2486,Nissan,2008,Nigerian Used,77687,45,Petrol,Automatic,"1,575,000",SUV
2487,Toyota,,,248358,,,Automatic,"2,586,000",
2488,Mercedes-Benz,2003,Nigerian Used,320327,3200,Petrol,Automatic,"1,872,000",SUV
2489,Nissan,2013,Foreign Used,176325,3500,Petrol,Automatic,"2,500,000",
2490,Chevrolet,2011,Nigerian Used,90435,1500,Petrol,Automatic,"1,207,500",
2491,Honda,2010,Nigerian Used,149189,35000,Petrol,Automatic,"2,100,000",
2492,Toyota,2005,Foreign Used,150430,1800,Petrol,Automatic,"2,625,000",
2493,BMW,2002,Nigerian Used,176466,3000,Petrol,Automatic,"1,687,500",SUV
2494,Toyota,2007,Nigerian Used,275414,2500,Petrol,Automatic,"1,995,000",
2495,Honda,2015,Nigerian Used,93433,2400,Petrol,Automatic,"3,885,000",
2496,Lexus,2008,Nigerian Used,184234,3500,Petrol,Automatic,"3,952,000",
2497,Toyota,2004,Nigerian Used,233801,2400,Petrol,Automatic,"1,664,000",
2498,Honda,2015,Nigerian Used,76054,2000,Petrol,Automatic,"5,616,000",
2499,Nissan,2002,Nigerian Used,141407,2500,Petrol,Automatic,"1,365,000",
2500,Infiniti,2004,Nigerian Used,262823,3500,Petrol,Automatic,"1,575,000",SUV
2501,Toyota,2010,Nigerian Used,257417,1800,Petrol,Automatic,"3,536,000",
2502,Lexus,2011,Nigerian Used,209215,3000,Petrol,Automatic,"1,680,000",
2503,Lexus,2007,Nigerian Used,68366,3500,Petrol,Automatic,"5,408,000",
2504,Nissan,2009,Nigerian Used,213292,3500,Petrol,CVT,"1,575,000",SUV
2505,Toyota,2006,Nigerian Used,316117,3500,Petrol,Automatic,"1,680,000",
2506,Toyota,,,56335,,,Automatic,"14,570,000",
2507,Toyota,2011,Nigerian Used,217733,2400,Petrol,Automatic,"2,100,000",
2508,Mercedes-Benz,2009,Nigerian Used,332652,3000,Petrol,Automatic,"2,730,000",
2509,Chrysler,2006,Foreign Used,36238,5700,Petrol,Automatic,"1,575,000",
2510,Toyota,2008,Nigerian Used,265560,2400,Petrol,Automatic,"2,100,000",
2511,Mercedes-Benz,2007,Nigerian Used,206570,2000,Petrol,Automatic,"1,785,000",
2512,Honda,2010,Nigerian Used,95249,3500,Petrol,Automatic,"1,785,000",
2513,Toyota,2007,Nigerian Used,312965,3000,Petrol,Automatic,"1,785,000",
2514,Toyota,2005,Nigerian Used,173874,2400,Petrol,Automatic,"2,288,000",
2515,Nissan,2014,Nigerian Used,191207,2500,Petrol,Automatic,"1,785,000",
2516,Mazda,2007,Nigerian Used,330873,2300,Petrol,Automatic,"1,260,000",
2517,Skoda,2014,Nigerian Used,83571,2000,Petrol,Automatic,"1,627,500",
2518,Toyota,2002,Nigerian Used,506364,2400,Petrol,Automatic,"1,456,000",
2519,Toyota,2004,Nigerian Used,233801,2400,Petrol,Automatic,"1,664,000",
2520,Mercedes-Benz,2005,Foreign Used,221487,5000,Petrol,Automatic,"1,627,500",
2521,Mercedes-Benz,2003,Nigerian Used,320327,3200,Petrol,Automatic,"1,872,000",SUV
2522,Nissan,,,148011,,,Automatic,"1,555,600",
2523,Toyota,2006,Nigerian Used,371715,3300,Petrol,Automatic,"1,890,000",
2524,Toyota,2006,Foreign Used,204482,1800,Petrol,Automatic,"3,172,000",
2525,Kia,2013,Nigerian Used,92645,2000,Petrol,Automatic,"2,310,000",
2526,Toyota,2005,Nigerian Used,156976,2400,Petrol,Automatic,"1,575,000",
2527,Toyota,,,102537,,,Automatic,"5,386,000",
2528,Toyota,2007,Nigerian Used,312965,3000,Petrol,Automatic,"1,785,000",
2529,Mercedes-Benz,2007,Nigerian Used,246829,5500,Petrol,Automatic,"2,520,000",
2530,Toyota,2009,Nigerian Used,154177,1800,Petrol,Automatic,"2,704,000",
2531,Toyota,2008,Nigerian Used,197584,2500,Petrol,Automatic,"2,100,000",
2532,Nissan,2005,Foreign Used,330873,1800,Petrol,Manual,"1,575,000",
2533,Toyota,,,248358,,,Automatic,"2,586,000",
2534,Suzuki,,,67,,,Automatic,"8,500,000",
2535,Toyota,2010,Nigerian Used,176319,2500,Petrol,Automatic,"2,205,000",
2536,Toyota,2001,Nigerian Used,355625,20000,Petrol,Automatic,"1,352,000",
2537,Nissan,2005,Nigerian Used,343566,4000,Petrol,Automatic,"1,768,000",
2538,Mercedes-Benz,2002,Foreign Used,311373,3200,Petrol,Automatic,"2,625,000",SUV
2539,Toyota,2003,Foreign Used,101442,1800,Petrol,Automatic,"3,120,000",
2540,Nissan,2013,Foreign Used,176325,3500,Petrol,Automatic,"2,500,000",
2541,Toyota,,,122151,,,Automatic,"2,372,500",
2542,Suzuki,,,62,,,Automatic,"7,100,000",
2543,Honda,,,97944,,,Automatic,"1,466,000",
2544,Mitsubishi,2010,Nigerian Used,,2400,Petrol,Manual,"1,260,000",
2545,Hyundai,,,124362,,,Automatic,"2,026,000",
2546,Toyota,,,208069,,,Automatic,"1,410,000",
2547,Honda,2007,Nigerian Used,140942,2400,Petrol,Automatic,"1,890,000",SUV
2548,Kia,2013,Nigerian Used,119011,1400,Petrol,Automatic,"1,995,000",
2549,Honda,2009,Nigerian Used,125806,2500,Petrol,,"1,785,000",
2550,Honda,2013,Nigerian Used,174120,24000,Petrol,Automatic,"3,517,500",
2551,Mercedes-Benz,2009,Nigerian Used,293528,3000,Petrol,Automatic,"2,625,000",
2552,Ford,2006,Foreign Used,321388,4000,Petrol,Automatic,"2,940,000",
2553,Hyundai,2011,Nigerian Used,193209,2400,Petrol,Automatic,"2,625,000",
2554,Mazda,2005,Nigerian Used,131262,3000,Petrol,Automatic,"1,260,000",
2555,Honda,,,72750,,,Automatic,"8,298,000",
2556,Toyota,2004,Nigerian Used,21973,1800,Petrol,Automatic,"1,732,500",
2557,Kia,,,31251,,,Automatic,"5,050,000",
2558,Lexus,1999,Nigerian Used,225668,3000,Petrol,Automatic,"1,938,000",SUV
2559,Toyota,2005,Nigerian Used,173874,2400,Petrol,Automatic,"2,288,000",
2560,Nissan,2013,Nigerian Used,99116,2000,Petrol,Automatic,"2,100,000",SUV
2561,Toyota,2007,Nigerian Used,335891,1800,Petrol,Automatic,"2,100,000",
2562,Toyota,2010,Foreign Used,75863,2700,Petrol,Automatic,"7,192,500",
2563,Honda,2013,Nigerian Used,137302,3500,Petrol,AMT,"3,360,000",
2564,Toyota,2007,Nigerian Used,249502,2400,Petrol,Automatic,"2,100,000",
2565,Toyota,,,231874,,,Automatic,"2,586,000",
2566,Toyota,2005,Foreign Used,389669,1800,Petrol,Automatic,"2,940,000",
2567,Toyota,2008,Nigerian Used,141077,1800,Petrol,Manual,"1,976,000",
2568,Toyota,2007,Nigerian Used,256997,3500,Petrol,Automatic,"1,890,000",
2569,Honda,2009,Nigerian Used,151561,2000,Petrol,Automatic,"1,575,000",
2570,Mercedes-Benz,2004,Nigerian Used,7061,3500,Petrol,Automatic,"1,785,000",
2571,Toyota,2007,Nigerian Used,234664,1800,Petrol,Automatic,"1,942,500",
2572,Toyota,2008,Nigerian Used,241842,20,Petrol,Automatic,"2,500,000",
2573,Nissan,2005,Nigerian Used,185972,4700,Petrol,Automatic,"2,100,000",SUV
2574,Honda,2007,Foreign Used,183460,35,Petrol,Automatic,"3,150,000",SUV
2575,Mitsubishi,2003,Nigerian Used,165711,2000,Petrol,Automatic,"1,365,000",SUV
2576,Nissan,2009,Nigerian Used,224443,2500,Petrol,Automatic,"1,890,000",
2577,Honda,2003,Nigerian Used,404395,3000,Petrol,Automatic,"1,664,000",SUV
2578,Mercedes-Benz,2014,Nigerian Used,29355,4700,Petrol,Automatic,"15,600,000",SUV
2579,Honda,2007,Nigerian Used,343376,2000,Petrol,Automatic,"2,310,000",SUV
2580,Toyota,2004,Nigerian Used,201202,1800,Petrol,Automatic,"2,184,000",
2581,Hyundai,2006,Nigerian Used,368863,3300,Petrol,Automatic,"1,352,000",
2582,Honda,2004,Foreign Used,397157,2400,Petrol,Automatic,"2,310,000",SUV
2583,Honda,2007,Foreign Used,128446,1400,Petrol,Manual,"1,785,000",
2584,Toyota,2007,Nigerian Used,405344,1800,Petrol,Automatic,"2,392,000",
2585,Nissan,2014,Nigerian Used,99397,2000,Petrol,Automatic,"1,575,000",
2586,Hyundai,2011,Nigerian Used,193209,2400,Petrol,Automatic,"2,625,000",
2587,Toyota,2001,Nigerian Used,119510,3000,Petrol,Automatic,"1,352,000",SUV
2588,Lexus,2006,Nigerian Used,81045,3500,Petrol,Automatic,"3,095,000",
2589,Mitsubishi,2003,Nigerian Used,165711,2000,Petrol,Automatic,"1,365,000",SUV
2590,Honda,2008,Nigerian Used,129345,2400,Petrol,Automatic,"2,808,000",SUV
2591,Nissan,2001,Nigerian Used,254983,3500,Petrol,Automatic,"1,050,000",SUV
2592,Chevrolet,1999,Nigerian Used,227599,3400,Petrol,Automatic,"1,050,000",
2593,Mercedes-Benz,2006,Nigerian Used,172043,5000,Petrol,Automatic,"2,730,000",SUV
2594,Toyota,2003,Nigerian Used,189521,2000,Petrol,Automatic,"1,890,000",
2595,Toyota,2002,Nigerian Used,376369,2400,Petrol,Automatic,"1,300,000",
2596,Kia,2013,Nigerian Used,119011,1400,Petrol,Automatic,"1,995,000",
2597,Toyota,2001,Foreign Used,298207,2200,Petrol,Automatic,"2,288,000",
2598,Honda,2009,Nigerian Used,148264,1800,Petrol,Automatic,"2,080,000",
2599,Toyota,2006,Nigerian Used,41446,1800,Petrol,Automatic,"1,890,000",
2600,Kia,2018,Nigerian Used,88610,1400,Petrol,Automatic,"4,400,000",
2601,Mercedes-Benz,2003,Nigerian Used,402903,2600,Petrol,Automatic,"1,560,000",
2602,Honda,2009,Nigerian Used,87829,2400,Petrol,Automatic,"2,100,000",SUV
2603,Toyota,2004,Nigerian Used,47254,1800,Petrol,Automatic,"2,288,000",
2604,Honda,2003,Nigerian Used,227135,3500,Petrol,AMT,"1,260,000",SUV
2605,Honda,,,186729,,,Automatic,"1,802,000",
2606,Ford,2006,Foreign Used,321388,4000,Petrol,Automatic,"2,940,000",
2607,Honda,2007,Nigerian Used,140942,2400,Petrol,Automatic,"1,890,000",SUV
2608,Mercedes-Benz,2007,Nigerian Used,246829,5500,Petrol,Automatic,"2,520,000",
2609,Infiniti,2004,Nigerian Used,102584,3500,Petrol,Automatic,"1,768,000",SUV
2610,Hyundai,,,97234,,,Automatic,"2,698,000",
2611,Toyota,2004,Nigerian Used,201202,1800,Petrol,Automatic,"2,184,000",
2612,Honda,2004,Foreign Used,397157,2400,Petrol,Automatic,"2,310,000",SUV
